X,Z,Success?,Stair_Floor1,Stair_Floor2,Water_height,StairObstacle1,StairObstacle2,StairObstacle3
10.5,2.5,F,1,1,-5.5,5,7,6
11,2.5,S,1,2,-2.9,8,5,3
11.5,2.5,F,2,2,-4.1,6,5,1
12,2.5,N,2,2,-10,3,7,2
12.5,2.5,S,2,2,-1.7,4,1,5
13,2.5,S,1,3,0,5,4,6
13.5,2.5,S,4,4,4,1,3,2
14,2.5,S,1,1,-0.8,3,8,6
14.5,2.5,F,1,1,8.6,5,6,2
15,2.5,S,2,2,-3.1,1,4,8
15.5,2.5,S,1,2,-1.2,8,4,5
16,2.5,F,2,4,-5.3,5,7,6
16.5,2.5,F,2,4,-8.8,5,3,4
17,2.5,S,3,1,2.8,8,7,1
17.5,2.5,F,3,1,-8.3,5,2,3
18,2.5,N,3,1,-10,4,7,6
18.5,2.5,S,2,2,-2.5,3,1,4
19,2.5,S,2,1,-2.2,6,8,1
19.5,2.5,S,4,3,-1.2,3,2,8
-19.5,3,S,4,4,-2.6,3,2,5
-19,3,F,3,4,-4.5,5,8,7
-18.5,3,S,3,4,-1.1,7,6,2
-18,3,S,1,1,0.4,8,7,2
-17.5,3,S,4,4,-2,5,3,6
-17,3,S,4,4,-2.4,6,2,1
-16.5,3,S,2,2,-1,7,4,3
-16,3,S,4,4,-1.9,3,6,1
-15.5,3,S,3,3,-2.1,2,8,1
-15,3,F,3,3,-8.6,4,8,6
-14.5,3,N,3,3,-10,6,1,4
-14,3,N,3,3,-10,4,6,3
-13.5,3,S,3,4,-2.1,2,6,7
-13,3,F,3,4,0,2,4,7
-12.5,3,S,1,1,-2.4,8,2,4
-12,3,S,1,1,0.9,3,2,4
-11.5,3,F,1,1,-7.5,7,1,8
-11,3,F,1,1,-8.5,3,1,2
-10.5,3,N,1,1,-10,2,7,1
-10,3,N,1,1,-10,2,1,6
-9.5,3,S,2,2,0.2,4,5,1
-9,3,F,1,3,-7.5,4,5,8
-8.5,3,S,1,2,-3.1,5,4,7
-8,3,S,2,1,-1.7,6,3,1
-7.5,3,S,1,1,-3.5,3,8,2
-7,3,F,1,1,-9,8,2,4
-6.5,3,N,1,1,-10,3,5,7
-6,3,S,4,4,-1.3,1,2,6
-5.5,3,S,4,4,-1.6,5,1,2
-5,3,S,3,3,-1.9,6,1,2
-4.5,3,S,1,1,-3.5,6,4,2
-4,3,S,1,2,-3.2,4,3,2
-3.5,3,S,2,1,4,3,6,7
-3,3,S,1,1,-3.6,7,4,2
-2.5,3,S,1,3,2.4,3,5,6
-2,3,S,1,1,-3.7,6,4,2
-1.5,3,S,1,1,-3.1,3,7,8
-1,3,S,1,2,-2.6,8,5,7
-0.5,3,F,1,2,-8.7,8,7,1
0,3,N,1,2,-10,8,2,1
0.5,3,S,1,2,-2.4,2,7,5
1,3,S,1,1,-3.5,8,3,4
1.5,3,S,3,3,-2.9,8,5,4
2,3,S,1,1,-3.4,2,3,8
2.5,3,S,1,2,-3.4,7,4,5
3,3,S,1,4,0.9,5,6,7
3.5,3,S,1,2,-3.5,8,4,2
4,3,S,1,1,-3.7,4,6,7
4.5,3,S,1,2,-3.6,4,2,3
5,3,S,4,4,6.1,1,3,2
5.5,3,S,1,1,-3.5,3,7,6
6,3,S,2,2,-3.1,1,5,4
6.5,3,S,1,2,-3,8,4,5
7,3,S,1,2,-3.2,7,5,2
7.5,3,F,1,2,-7.6,5,6,2
8,3,N,1,2,-10,8,7,3
8.5,3,S,2,2,-3.5,1,8,5
9,3,S,2,2,5.5,5,1,8
9.5,3,S,1,2,-0.1,3,7,5
10,3,F,2,1,2.2,1,6,8
10.5,3,S,2,1,-2.1,6,1,8
11,3,S,1,1,-2.7,6,4,2
11.5,3,S,1,2,-3,5,2,7
12,3,S,2,3,5.6,6,5,1
12.5,3,S,1,2,-0.7,3,2,5
13,3,S,2,1,-2.5,6,4,1
13.5,3,S,1,1,-2.1,6,3,8
14,3,S,2,1,-2.3,1,6,8
14.5,3,S,1,2,-2.9,4,7,5
15,3,S,3,3,-2.9,2,1,8
15.5,3,F,1,1,-6.1,6,2,4
16,3,S,2,2,4.5,1,4,8
16.5,3,S,2,2,3.3,1,3,4
17,3,S,3,4,-2.3,1,7,4
17.5,3,F,1,4,-8,3,5,6
18,3,F,1,4,-5.7,1,3,8
18.5,3,F,1,4,-8.1,5,7,2
19,3,S,2,3,2.2,6,3,1
19.5,3,S,2,2,-2.3,3,4,1
-19.5,3.5,F,2,2,-10,8,5,4
-19,3.5,F,3,3,-4.6,5,8,4
-18.5,3.5,F,4,3,-8.6,7,1,3
-18,3.5,S,3,1,-0.5,6,7,8
-17.5,3.5,S,3,1,1,8,4,7
-17,3.5,S,1,1,1.3,3,7,4
-16.5,3.5,S,4,4,-2.8,2,1,5
-16,3.5,S,4,3,-2.6,3,2,5
-15.5,3.5,F,3,3,-4,6,7,8
-15,3.5,N,3,3,-10,6,2,1
-14.5,3.5,N,3,3,-10,4,2,6
-14,3.5,S,2,2,-1.9,4,1,7
-13.5,3.5,S,3,3,-2.4,5,1,2
-13,3.5,S,2,2,-0.1,4,1,3
-12.5,3.5,F,2,2,-8.7,5,2,6
-12,3.5,N,2,2,-10,4,1,6
-11.5,3.5,N,2,2,-10,3,1,6
-11,3.5,F,1,1,-5.7,4,8,7
-10.5,3.5,S,1,2,-2.8,5,4,2
-10,3.5,S,4,4,-0.9,3,1,7
-9.5,3.5,S,2,2,-3.9,1,3,5
-9,3.5,F,3,3,-2.1,2,5,1
-8.5,3.5,F,1,3,-9,3,5,6
-8,3.5,S,1,1,-3,4,6,2
-7.5,3.5,F,2,1,-6.8,6,3,1
-7,3.5,N,2,1,-10,5,6,3
-6.5,3.5,S,1,1,-3.5,3,6,2
-6,3.5,S,2,2,-1.6,7,3,1
-5.5,3.5,S,2,2,-2.4,4,1,5
-5,3.5,S,4,4,0,7,2,1
-4.5,3.5,S,2,1,-3.2,6,3,1
-3.5,3.5,S,1,2,-2.7,2,7,8
-3,3.5,F,3,4,3.9,7,2,1
-2.5,3.5,S,1,2,1.5,3,8,7
-2,3.5,F,3,3,-6.5,1,2,8
-1.5,3.5,S,2,1,-2.2,1,4,3
-1,3.5,S,4,3,-2.2,3,5,8
-0.5,3.5,S,1,3,1.6,8,6,5
0,3.5,S,1,2,-3.1,8,3,5
0.5,3.5,S,3,4,6.2,7,1,2
1,3.5,S,1,1,-3.6,4,7,2
1.5,3.5,S,1,1,-3.7,2,4,6
2,3.5,S,2,2,-3.3,1,4,7
2.5,3.5,F,2,2,-6.4,7,5,1
3,3.5,F,1,1,-7.6,4,6,3
3.5,3.5,S,1,2,-3.5,4,7,5
4,3.5,S,1,2,-2.8,5,7,8
4.5,3.5,F,3,2,-5.6,7,8,1
5,3.5,F,3,2,-6.1,1,2,3
5.5,3.5,S,1,1,-3.8,8,6,2
6,3.5,S,1,2,-3.4,2,5,4
6.5,3.5,F,2,1,-3.6,4,1,6
7,3.5,F,2,1,-7.8,1,5,7
7.5,3.5,N,2,1,-10,8,2,3
8,3.5,N,2,1,-10,5,2,3
8.5,3.5,F,2,1,-7.2,1,2,6
9,3.5,N,2,1,-10,2,1,7
9.5,3.5,F,1,1,-8.4,2,8,7
10,3.5,S,1,2,-3.2,5,7,2
10.5,3.5,S,3,3,-3,5,1,2
11,3.5,S,1,2,-2.6,3,8,5
11.5,3.5,S,1,1,-2.7,3,6,2
12,3.5,S,1,1,-2.4,7,6,2
12.5,3.5,F,3,4,11.1,6,2,1
13,3.5,F,3,3,-6.5,2,1,4
13.5,3.5,S,1,2,-2.1,5,7,8
14,3.5,S,2,1,4.9,6,3,8
14.5,3.5,S,1,3,-0.9,6,5,2
15,3.5,S,1,1,-2.8,8,3,2
15.5,3.5,S,3,3,-1.2,6,1,2
16,3.5,S,3,1,1.7,1,2,7
16.5,3.5,S,1,1,-2,3,2,4
17,3.5,S,1,1,-0.7,2,3,4
17.5,3.5,F,1,1,-7.9,3,6,4
18,3.5,F,3,1,-5.9,5,7,1
18.5,3.5,S,2,2,-1.8,1,4,5
19,3.5,F,2,2,1.5,8,7,3
19.5,3.5,F,2,2,-10,3,2,5
-19.5,4,F,2,2,-9.8,6,4,5
-19,4,S,3,3,-1.7,4,6,5
-18.5,4,S,3,3,1.7,4,8,1
-18,4,S,2,2,1.5,8,4,3
-17.5,4,F,2,2,-8.1,4,7,5
-17,4,S,3,3,-2.1,4,8,6
-16.5,4,S,3,3,-2.3,1,6,4
-16,4,F,4,3,0.1,7,5,8
-15.5,4,N,4,3,-10,4,1,8
-15,4,F,4,1,-2.6,8,2,7
-14.5,4,S,4,4,-2.5,7,3,2
-14,4,S,1,1,-1.6,4,6,3
-13.5,4,S,3,3,-2.6,8,4,5
-12.5,4,S,4,4,-2.5,6,5,1
-12,4,S,1,2,-2.7,4,7,3
-11.5,4,S,3,3,-1.4,6,4,1
-11,4,S,1,4,-0.8,3,5,6
-10.5,4,F,1,2,-7.6,2,3,5
-10,4,S,3,3,-2,4,2,1
-9.5,4,F,3,3,1.5,1,8,5
-9,4,S,3,3,-1.9,6,4,2
-8.5,4,F,1,2,-4.2,2,3,5
-7.5,4,S,4,3,-0.4,3,6,8
-7,4,S,3,3,0.8,1,2,6
-6,4,F,1,2,-9.4,1,7,8
-5.5,4,S,3,4,0.3,7,5,1
-5,4,S,4,3,-1.5,5,3,8
-4.5,4,S,1,2,-3,8,3,7
-4,4,F,1,2,-7.9,7,5,2
-3.5,4,N,1,2,-10,1,8,5
-3,4,N,1,2,-10,6,2,4
-2.5,4,S,1,3,-0.4,5,4,6
-2,4,F,3,3,-7.2,1,2,5
-1.5,4,S,1,1,-3.6,8,6,2
-1,4,S,3,4,-2.6,1,5,6
-0.5,4,S,1,1,-3.6,6,4,3
0,4,S,2,1,-1.5,7,1,6
0.5,4,S,1,2,-3.4,7,8,5
1,4,S,1,1,-3.7,4,6,3
1.5,4,S,2,1,-0.9,1,3,6
2,4,S,2,2,-0.7,4,8,1
2.5,4,S,1,1,1.7,2,3,8
3,4,S,1,1,-3.2,7,4,2
3.5,4,S,3,3,-1.6,2,1,4
4,4,S,1,1,-3.5,4,6,2
4.5,4,S,1,2,-2.9,5,8,7
5,4,S,1,1,-3.8,4,7,6
5.5,4,S,2,2,0.4,1,5,7
6,4,S,2,2,-2.5,7,1,8
6.5,4,S,1,2,-3.2,5,4,8
7,4,S,2,2,-2.6,1,8,7
7.5,4,F,2,2,-0.6,3,1,7
8,4,S,1,1,-3.8,8,3,4
8.5,4,S,1,1,-3.9,2,3,6
9,4,S,2,2,-3.1,8,1,5
9.5,4,F,2,2,-8.4,5,6,2
10,4,S,1,1,-2,7,4,2
10.5,4,F,1,1,-3.9,3,5,6
11,4,N,1,1,-10,4,8,1
11.5,4,F,1,1,1.5,2,1,3
12,4,F,1,1,-2.1,4,2,1
12.5,4,N,1,1,-10,8,2,4
13,4,N,1,1,-10,3,7,8
13.5,4,F,1,1,-8.4,8,6,5
14,4,S,2,2,1.3,3,5,1
14.5,4,S,1,2,-2.3,5,3,8
15,4,S,1,1,0,6,3,4
15.5,4,F,3,3,-6.2,8,2,5
16,4,F,3,3,-8.2,5,1,2
16.5,4,S,3,4,-1,1,6,5
17,4,F,3,4,-3.8,8,1,7
17.5,4,N,3,4,-10,5,6,1
18,4,S,4,4,0.3,2,3,1
18.5,4,F,3,3,-6.4,5,7,2
19,4,S,3,4,-0.2,6,7,4
19.5,4,S,3,3,5.2,2,4,6
-19.5,4.5,F,3,3,-9.8,6,3,5
-19,4.5,F,3,3,-9.8,8,7,3
-18.5,4.5,S,2,2,1.4,3,4,7
-18,4.5,F,2,2,-8.5,1,2,7
-17.5,4.5,F,2,2,-8.2,3,1,5
-17,4.5,N,2,2,-10,7,6,3
-16.5,4.5,F,2,2,-8.5,3,5,8
-16,4.5,F,2,2,-7.8,5,3,1
-15.5,4.5,F,2,2,-0.9,6,8,4
-15,4.5,F,4,2,8.5,7,8,5
-14.5,4.5,F,3,2,-8.4,7,1,4
-14,4.5,S,3,3,-1.9,6,8,2
-13.5,4.5,S,3,3,-1.8,2,8,6
-13,4.5,S,1,2,-2,4,3,8
-12.5,4.5,F,1,1,-8.6,3,2,7
-12,4.5,S,2,2,-2.3,1,4,5
-11.5,4.5,S,2,1,-0.9,1,6,3
-11,4.5,S,3,3,-0.6,4,2,1
-10.5,4.5,F,1,1,-8.4,7,8,6
-10,4.5,S,2,2,-2.3,3,1,7
-9.5,4.5,S,1,1,-3.2,3,2,8
-9,4.5,S,1,1,-3.2,6,7,8
-8.5,4.5,S,2,2,-0.8,1,3,7
-8,4.5,S,3,3,2.1,2,8,1
-7.5,4.5,S,3,3,0.6,2,5,1
-7,4.5,S,1,1,7,8,2,3
-6.5,4.5,S,1,1,-3.6,6,8,7
-6,4.5,S,3,3,-2.8,5,4,1
-5.5,4.5,S,1,2,-3.3,5,2,8
-5,4.5,S,1,1,-2.7,8,4,3
-4.5,4.5,S,3,4,2.7,1,7,2
-4,4.5,S,1,1,-2.9,7,6,3
-3.5,4.5,F,1,3,-5.8,6,5,8
-3,4.5,S,3,3,4.2,1,4,2
-2.5,4.5,S,1,2,-3.4,5,3,4
-2,4.5,S,1,1,-3.5,8,3,6
-1.5,4.5,S,1,1,-3.6,2,6,7
-1,4.5,S,1,1,-3.6,6,4,2
-0.5,4.5,S,1,1,-3.7,6,2,3
0,4.5,S,3,4,0.5,1,2,6
0.5,4.5,S,2,1,-3.1,6,4,1
1,4.5,S,1,2,-3.4,8,2,3
1.5,4.5,S,1,1,-3.7,7,6,2
2,4.5,S,1,1,-3.4,8,4,7
2.5,4.5,S,2,2,0.9,5,3,1
3,4.5,S,2,2,-0.8,6,1,4
3.5,4.5,S,1,2,-3.3,2,7,3
4,4.5,S,1,1,-3.8,8,7,2
4.5,4.5,S,1,1,-3.8,4,3,7
5.5,4.5,S,1,1,-3.8,7,6,8
6,4.5,F,1,1,-7.8,2,6,1
6.5,4.5,F,1,1,-7.3,1,6,2
7,4.5,N,1,1,-10,3,2,5
7.5,4.5,S,1,2,-3.7,5,2,8
8,4.5,F,1,1,-8.8,8,3,2
8.5,4.5,S,2,2,-3.4,4,7,1
9,4.5,S,1,1,-4,6,8,3
9.5,4.5,S,1,1,-3.5,3,7,8
10,4.5,F,3,4,-7.4,4,1,5
10.5,4.5,S,2,2,-2.4,5,3,1
11,4.5,F,2,2,-9.6,4,6,5
11.5,4.5,S,2,1,-2.4,1,6,7
12,4.5,S,1,1,-1.7,7,6,8
12.5,4.5,S,1,2,-1.3,5,3,2
13,4.5,S,1,1,-1.8,4,6,7
13.5,4.5,S,3,4,-2.3,4,1,6
14,4.5,S,1,1,-2.2,4,6,2
14.5,4.5,S,4,3,-1.2,3,5,8
15,4.5,F,4,3,-8.7,1,6,8
15.5,4.5,S,1,3,10.6,5,6,3
16,4.5,S,3,4,-1.7,7,4,5
16.5,4.5,F,1,4,-2.7,3,6,4
17,4.5,S,1,2,-1.4,4,3,5
17.5,4.5,F,3,2,-5.4,2,7,5
18,4.5,N,3,2,-10,4,5,3
18.5,4.5,N,3,2,-10,2,8,4
19,4.5,S,1,2,-1.9,4,2,8
19.5,4.5,F,1,2,-7,3,4,2
-19.5,5,F,1,2,-10,4,3,1
-19,5,F,1,2,-9.8,1,4,6
-18.5,5,F,1,2,-9.7,8,7,2
-18,5,F,1,2,-9.7,5,7,2
-17.5,5,F,1,2,-9.6,1,7,8
-17,5,S,3,4,-2.3,2,6,1
-16.5,5,S,3,4,-2.1,7,2,1
-16,5,S,4,4,-2.7,2,5,6
-15.5,5,F,4,4,-8.5,3,8,1
-15,5,S,4,4,-2.9,6,7,3
-14.5,5,S,3,3,-2.3,2,4,1
-14,5,F,3,3,1.5,5,1,3
-13.5,5,S,3,3,-2,6,2,1
-13,5,S,1,1,-2.9,8,3,7
-12.5,5,S,2,1,-0.8,3,6,1
-12,5,S,1,2,-1.2,7,5,8
-11.5,5,F,1,1,-8.3,6,8,7
-11,5,S,3,3,-0.7,6,8,2
-10.5,5,S,3,1,5.7,1,7,8
-10,5,S,1,1,-3.5,4,6,2
-9.5,5,S,1,2,-2.8,3,4,2
-9,5,S,2,2,-2.7,1,8,5
-8.5,5,S,2,2,-2.5,3,7,1
-8,5,S,1,1,-2.7,2,4,3
-7.5,5,S,1,2,-3.2,2,4,8
-7,5,S,2,2,-3.8,3,4,5
-6.5,5,F,1,2,-8,5,2,3
-6,5,N,1,2,-10,8,2,6
-5.5,5,N,1,2,-10,3,2,7
-5,5,S,2,2,-3.8,4,1,3
-4.5,5,S,1,1,-3.5,2,8,4
-4,5,S,1,2,-2.4,3,4,5
-3.5,5,S,1,2,-2.5,3,4,5
-3,5,S,4,4,-0.8,1,3,2
-2.5,5,F,1,4,-7.9,5,2,7
-2,5,N,1,4,-10,3,5,8
-1.5,5,N,1,4,-10,3,6,2
-1,5,S,1,1,-2.7,8,3,4
-0.5,5,S,1,1,-0.8,2,8,3
0,5,S,1,1,-3.4,2,4,3
0.5,5,F,2,1,-7.2,4,1,8
1,5,S,1,3,2.1,8,6,5
1.5,5,S,1,2,-3,5,8,2
2,5,S,2,1,-1.9,1,6,7
2.5,5,F,1,1,-5.6,6,2,7
3,5,S,1,2,-2.7,3,7,5
3.5,5,S,1,2,-3.6,5,4,8
4,5,S,3,4,5.2,2,4,1
4.5,5,S,1,2,-3.2,7,5,8
5,5,S,1,1,-3.9,6,7,8
5.5,5,F,2,1,-5.4,1,6,3
6,5,S,1,2,-2,3,7,8
6.5,5,S,1,1,-3.9,2,6,7
7,5,F,2,1,-1.2,1,5,6
7.5,5,S,1,2,-3.7,4,8,5
8,5,S,2,2,-2.6,7,1,5
8.5,5,S,1,1,-4,4,6,3
9,5,S,3,3,7.5,1,8,2
9.5,5,S,1,1,-4,4,6,7
10,5,S,1,1,-2.4,6,4,8
10.5,5,S,1,2,-3.1,3,5,7
11,5,S,2,2,-2.9,1,8,4
11.5,5,S,1,4,6.9,7,6,5
12,5,F,1,4,-8.6,3,8,4
12.5,5,S,1,1,1,3,2,4
13,5,S,4,4,0.3,2,1,3
13.5,5,S,1,1,-2.8,6,3,4
14,5,S,2,2,-2.5,4,1,7
14.5,5,F,2,2,1.5,1,4,2
15,5,S,2,2,-0.8,1,4,3
15.5,5,F,2,2,-5.3,3,1,4
16,5,F,2,2,-8.5,3,6,7
16.5,5,N,2,2,-10,4,7,8
17,5,S,3,3,-1.7,1,8,4
17.5,5,S,4,4,-2.8,7,6,1
18,5,F,4,4,-6.6,8,4,3
18.5,5,S,4,4,-3,1,2,6
19,5,S,2,2,-2.1,1,5,8
19.5,5,S,4,4,2.1,6,1,3
-19.5,5.5,F,4,4,-10,5,6,7
-19,5.5,F,4,4,-9.8,8,5,7
-18.5,5.5,S,3,4,-2.3,7,4,6
-18,5.5,S,1,2,-0.4,8,5,4
-17.5,5.5,F,1,2,-9.7,2,3,5
-17,5.5,S,3,1,3.6,7,8,1
-16.5,5.5,F,3,1,-7.8,6,2,1
-16,5.5,N,3,1,-10,7,1,5
-15.5,5.5,N,3,1,-10,8,4,2
-15,5.5,S,3,3,-2.1,5,1,8
-14.5,5.5,S,1,1,-0.6,2,4,3
-14,5.5,S,2,2,1.5,3,1,8
-13.5,5.5,S,3,4,-1.5,7,2,4
-13,5.5,S,1,1,-0.6,7,4,6
-12.5,5.5,F,1,1,-8.5,8,3,6
-12,5.5,N,1,1,-10,3,7,6
-11.5,5.5,S,1,2,-1.9,4,5,8
-11,5.5,S,1,2,-2.6,8,5,2
-10.5,5.5,F,1,2,-8.5,4,3,8
-10,5.5,N,1,2,-10,4,2,3
-9.5,5.5,S,2,2,-0.6,1,8,7
-9,5.5,F,2,2,-6.7,2,1,7
-8.5,5.5,S,2,1,-2.8,8,6,3
-8,5.5,F,2,1,-5.8,8,1,6
-7.5,5.5,F,3,1,-7.3,2,7,1
-7,5.5,N,3,1,-10,8,3,7
-6.5,5.5,S,2,1,-0.6,1,7,3
-6,5.5,S,1,1,2.4,3,7,8
-5.5,5.5,S,2,1,-2.8,4,1,7
-5,5.5,S,1,1,-3.4,2,6,4
-4.5,5.5,S,1,3,4.5,2,6,5
-4,5.5,S,1,2,-2.5,2,5,4
-3.5,5.5,S,1,1,-3.5,4,2,6
-3,5.5,F,1,3,-2.6,6,4,5
-2.5,5.5,S,1,1,-3.6,2,4,6
-2,5.5,S,2,2,-3.5,8,3,1
-1.5,5.5,S,1,1,-1,4,6,7
-1,5.5,S,2,4,3.1,6,1,5
-0.5,5.5,S,2,2,-3.7,4,3,1
0,5.5,S,1,3,1.2,6,5,4
0.5,5.5,S,1,1,-3.7,4,6,2
1,5.5,S,1,2,-3.4,8,4,5
1.5,5.5,S,1,3,-2.3,2,6,5
2,5.5,S,1,1,-3.6,6,7,8
2.5,5.5,F,1,1,-6,3,6,8
3,5.5,S,1,4,6.6,6,5,7
3.5,5.5,S,1,1,-3.8,4,7,3
4,5.5,S,2,1,9.7,6,1,3
4.5,5.5,S,1,2,-2.8,4,8,5
5,5.5,S,1,2,-3.6,2,4,3
5.5,5.5,S,1,2,-3.6,3,4,8
6,5.5,S,1,2,-3.7,7,2,4
6.5,5.5,F,1,2,-8,2,6,5
7,5.5,S,2,2,-3.3,1,7,4
8,5.5,S,1,2,-3.7,3,5,2
8.5,5.5,S,1,1,-4,6,2,8
9,5.5,S,2,2,-3.1,3,1,7
9.5,5.5,S,1,1,-3.9,4,2,6
10,5.5,S,3,3,-1.7,1,2,5
10.5,5.5,S,2,2,-1.9,7,3,1
11,5.5,F,1,2,-8.4,8,6,4
11.5,5.5,S,2,2,-1.7,7,3,1
12,5.5,S,1,1,-2.5,2,8,6
12.5,5.5,S,1,1,-3.1,6,8,7
13,5.5,S,1,1,-2.3,4,7,8
13.5,5.5,S,2,3,8.1,5,1,6
14,5.5,S,1,3,3.4,5,3,6
14.5,5.5,S,4,4,-1.4,1,5,3
15,5.5,F,4,4,-7.8,4,5,1
15.5,5.5,N,4,4,-10,7,1,2
16,5.5,S,1,2,-1.6,3,5,2
16.5,5.5,S,1,2,-1.2,4,3,5
17,5.5,S,1,1,-0.5,8,3,4
17.5,5.5,S,2,1,2,4,6,8
18,5.5,S,1,1,-0.7,4,8,3
18.5,5.5,S,1,2,0.3,4,5,3
19,5.5,S,4,1,6.5,8,7,3
19.5,5.5,S,3,4,5.4,2,7,1
-19.5,6,F,3,4,-10,1,7,4
-19,6,F,3,4,-9.8,2,1,5
-18.5,6,F,3,4,-9.7,3,4,2
-18,6,F,3,4,-9.3,2,1,8
-17.5,6,S,4,3,-2.4,8,5,1
-17,6,F,4,3,-7.3,7,4,3
-16.5,6,N,4,3,-10,4,7,3
-16,6,N,4,3,-10,3,5,4
-15.5,6,F,4,3,-4.7,4,1,7
-15,6,N,4,3,-10,4,6,3
-14.5,6,S,4,4,-1.5,5,2,6
-14,6,F,4,4,-8.7,4,3,2
-13.5,6,F,3,4,-5,1,7,8
-13,6,F,4,4,-8.1,3,7,8
-12.5,6,F,4,4,-8.6,2,1,3
-12,6,S,1,1,-3,7,8,4
-11.5,6,F,1,1,-7.7,7,4,2
-10.5,6,S,3,4,-2.1,1,2,7
-9.5,6,S,2,2,-1.9,1,4,8
-8.5,6,S,2,2,-2.6,8,3,5
-8,6,S,1,3,0.5,3,5,6
-7,6,S,1,1,-3,8,4,2
-6.5,6,S,3,3,-1.2,1,8,4
-6,6,S,2,2,-3.7,4,8,7
-5.5,6,F,3,3,-1.6,1,2,6
-5,6,S,2,2,-3.3,8,1,5
-4.5,6,S,2,2,-3.8,8,3,4
-4,6,S,2,1,-2.4,6,4,1
-3.5,6,S,2,1,-3.2,8,6,1
-3,6,S,1,1,-3.7,8,2,4
-2.5,6,F,2,1,-8.1,3,6,1
-2,6,N,2,1,-10,2,1,7
-1.5,6,S,2,1,0.1,1,4,6
-1,6,S,1,2,0.9,2,5,8
-0.5,6,F,2,2,8.7,6,4,5
0,6,F,1,2,-6.6,5,6,8
0.5,6,N,1,2,-10,7,2,1
1,6,S,1,1,-3.1,3,8,4
1.5,6,S,1,3,6.1,3,5,6
2,6,S,2,2,-3.7,1,5,7
2.5,6,S,3,3,0.8,5,1,2
3,6,F,1,3,8.7,5,3,6
3.5,6,S,3,4,1.3,2,1,4
4,6,S,1,1,-3.8,7,4,6
4.5,6,S,2,1,-1.8,3,6,1
5,6,S,1,2,-3.4,5,2,8
5.5,6,S,3,4,3.3,1,4,7
6,6,S,2,2,-3.5,1,7,8
6.5,6,S,1,1,-3.9,6,4,3
7,6,S,2,2,-1.7,4,1,3
7.5,6,S,1,2,-3.7,7,4,2
8,6,S,3,3,-2.7,5,1,2
8.5,6,S,1,2,-3.2,2,3,5
9,6,S,1,1,-4,7,4,6
9.5,6,S,1,2,-3.5,5,7,8
10,6,S,2,2,3.2,5,4,1
10.5,6,S,1,2,-3.2,7,8,5
11,6,S,2,1,-1.7,1,3,6
11.5,6,S,1,1,-2.9,6,4,8
12,6,F,1,1,-0.2,6,4,1
12.5,6,S,4,4,3.5,1,5,6
13,6,S,4,4,-1.5,5,2,3
13.5,6,F,4,4,-8.7,3,6,5
14,6,F,4,4,-6.6,8,7,3
14.5,6,F,4,3,-3.8,1,8,6
15,6,F,4,3,-8.6,8,5,1
15.5,6,S,1,2,-1.8,2,7,4
16,6,S,2,2,-1.1,1,8,3
16.5,6,F,2,2,-8.9,3,2,1
17,6,S,1,1,-2,4,6,3
17.5,6,F,1,1,-8.8,4,1,5
18,6,S,3,3,2.6,2,8,4
18.5,6,F,3,3,-8,6,1,8
19,6,N,3,3,-10,5,6,1
19.5,6,S,1,2,-0.4,5,8,2
-19.5,6.5,N,1,2,-10,3,1,6
-19,6.5,N,1,2,-10,2,4,8
-18.5,6.5,N,1,2,-10,2,7,4
-18,6.5,N,1,2,-10,8,2,1
-17.5,6.5,N,1,2,-10,2,7,4
-17,6.5,N,1,2,-10,3,5,8
-16.5,6.5,N,1,2,-10,3,5,4
-16,6.5,N,1,2,-10,5,2,3
-15.5,6.5,N,1,2,-10,4,1,5
-15,6.5,N,1,2,-10,8,1,5
-14.5,6.5,N,1,2,-10,7,4,5
-14,6.5,N,1,2,-10,8,2,5
-13.5,6.5,N,1,2,-10,5,7,3
-13,6.5,N,1,2,-10,1,7,2
-12.5,6.5,N,1,2,-10,2,5,8
-12,6.5,N,1,2,-10,4,5,8
-11.5,6.5,N,1,2,-10,8,2,6
-11,6.5,S,3,3,-2.6,8,2,4
-10.5,6.5,F,2,1,-6.5,4,6,8
-10,6.5,F,1,2,-2.2,5,3,2
-9.5,6.5,S,2,2,-1.9,5,1,7
-9,6.5,S,3,3,-2.8,6,2,5
-8.5,6.5,S,1,4,5.1,5,6,7
-8,6.5,S,2,1,-3.7,6,1,3
-7.5,6.5,S,4,4,-2.2,3,5,2
-7,6.5,S,2,2,-3.9,4,8,5
-6.5,6.5,S,2,1,-3,6,4,1
-6,6.5,F,2,1,1.2,8,6,1
-5.5,6.5,N,2,1,-10,5,1,2
-5,6.5,F,1,1,-8.6,7,6,3
-4.5,6.5,S,1,2,-2.6,4,5,8
-4,6.5,S,2,1,-3.1,1,6,3
-3.5,6.5,S,1,2,-3.1,2,5,8
-3,6.5,S,2,2,-3.7,7,3,1
-2.5,6.5,S,2,2,-3.3,7,8,1
-2,6.5,S,3,3,-1.2,2,5,1
-1.5,6.5,S,2,2,-2.8,4,8,3
-1,6.5,S,1,2,-3,5,7,2
-0.5,6.5,S,1,3,3.5,3,5,6
0,6.5,S,1,1,-3.1,7,8,3
0.5,6.5,F,1,1,-0.5,5,2,6
1,6.5,N,1,1,-10,4,2,1
1.5,6.5,S,2,1,5.4,8,1,6
2,6.5,S,2,2,7.1,4,1,7
2.5,6.5,S,4,4,4.2,2,1,3
